week_starting,practice,total_consultants,assigned_to_projects,on_bench,utilization_target,actual_utilization,visibility_score,staffing_requests,requests_fulfilled,avg_fulfillment_days,forecast_accuracy
2025-01-06,Technology,82000,69700,12300,85%,85.0%,72%,450,380,4.8,68%
2025-01-06,Strategy & Consulting,45000,38250,6750,88%,85.0%,65%,280,220,5.5,62%
2025-01-06,Operations,120000,102000,18000,85%,85.0%,70%,520,440,5.2,65%
2025-01-06,Industry X,35000,29750,5250,85%,85.0%,68%,180,145,5.8,60%
2025-01-06,Song,18000,14400,3600,80%,80.0%,62%,95,72,6.2,58%
2025-01-13,Technology,82000,70110,11890,85%,85.5%,73%,420,360,4.6,69%
2025-01-13,Strategy & Consulting,45000,38700,6300,88%,86.0%,66%,265,215,5.3,63%
2025-01-13,Operations,120000,103200,16800,85%,86.0%,71%,490,420,5.0,66%
2025-01-13,Industry X,35000,29925,5075,85%,85.5%,69%,170,138,5.6,61%
2025-01-13,Song,18000,14580,3420,80%,81.0%,63%,88,68,6.0,59%
2025-01-20,Technology,82000,69290,12710,85%,84.5%,71%,480,395,5.0,67%
2025-01-20,Strategy & Consulting,45000,38025,6975,88%,84.5%,64%,310,245,5.8,61%
2025-01-20,Operations,120000,101400,18600,85%,84.5%,69%,560,460,5.4,64%
2025-01-20,Industry X,35000,29575,5425,85%,84.5%,67%,195,155,6.0,59%
2025-01-20,Song,18000,14220,3780,80%,79.0%,61%,105,78,6.5,56%
2025-01-27,Technology,82000,70520,11480,85%,86.0%,72%,395,340,4.5,70%
2025-01-27,Strategy & Consulting,45000,39150,5850,88%,87.0%,67%,245,200,5.0,65%
2025-01-27,Operations,120000,104400,15600,85%,87.0%,72%,445,385,4.8,68%
2025-01-27,Industry X,35000,30100,4900,85%,86.0%,70%,155,130,5.2,63%
2025-01-27,Song,18000,14760,3240,80%,82.0%,64%,80,62,5.8,60%
2025-02-03,Technology,82000,69700,12300,85%,85.0%,71%,440,365,4.9,68%
2025-02-03,Strategy & Consulting,45000,38475,6525,88%,85.5%,66%,275,225,5.4,63%
2025-02-03,Operations,120000,102600,17400,85%,85.5%,70%,510,430,5.1,66%
2025-02-03,Industry X,35000,29750,5250,85%,85.0%,68%,175,142,5.7,61%
2025-02-03,Song,18000,14400,3600,80%,80.0%,62%,92,70,6.3,57%
2025-02-10,Technology,82000,70110,11890,85%,85.5%,73%,415,350,4.7,69%
2025-02-10,Strategy & Consulting,45000,38925,6075,88%,86.5%,68%,255,210,5.2,64%
2025-02-10,Operations,120000,103800,16200,85%,86.5%,72%,475,405,4.9,67%
2025-02-10,Industry X,35000,30275,4725,85%,86.5%,70%,160,132,5.4,62%
2025-02-10,Song,18000,14940,3060,80%,83.0%,65%,78,62,5.6,61%
